Force (N)	Position (mm)	Stress (MPa)	Strain (%)	Time (min)
0.00	0.00	0.00	0.00	0.00284
0.132	0.00	0.0128	0.00	0.00480
3.92	0.00100	0.382	0.00500	0.00677
11.3	0.00200	1.10	0.0100	0.00873
21.0	0.00300	2.05	0.0150	0.0107
29.4	0.00400	2.86	0.0200	0.0127
37.9	0.00500	3.68	0.0250	0.0146
46.2	0.00600	4.50	0.0300	0.0166
54.2	0.00700	5.27	0.0350	0.0186
61.3	0.00800	5.97	0.0400	0.0205
68.6	0.00900	6.67	0.0450	0.0225
76.4	0.0100	7.43	0.0500	0.0244
84.5	0.0110	8.22	0.0550	0.0264
92.5	0.0120	9.00	0.0600	0.0284
100	0.0130	9.75	0.0650	0.0303
107	0.0140	10.4	0.0700	0.0323
114	0.0150	11.0	0.0750	0.0343
121	0.0160	11.8	0.0800	0.0362
128	0.0170	12.5	0.0850	0.0382
135	0.0180	13.1	0.0900	0.0402
143	0.0190	13.9	0.0950	0.0421
149	0.0200	14.5	0.100	0.0441
156	0.0210	15.2	0.105	0.0461
163	0.0220	15.8	0.110	0.0480
170	0.0230	16.5	0.115	0.0500
176	0.0240	17.2	0.120	0.0520
184	0.0250	17.9	0.125	0.0539
191	0.0260	18.6	0.130	0.0559
197	0.0270	19.1	0.135	0.0578
204	0.0280	19.8	0.140	0.0598
210	0.0290	20.4	0.145	0.0618
217	0.0300	21.1	0.150	0.0637
224	0.0310	21.8	0.155	0.0657
231	0.0320	22.4	0.160	0.0677
236	0.0330	22.9	0.165	0.0696
242	0.0340	23.6	0.170	0.0716
249	0.0350	24.2	0.175	0.0736
255	0.0360	24.8	0.180	0.0755
261	0.0370	25.4	0.185	0.0775
267	0.0380	26.0	0.190	0.0795
272	0.0390	26.4	0.195	0.0814
277	0.0400	26.9	0.200	0.0834
281	0.0409	27.3	0.204	0.0854
284	0.0420	27.6	0.210	0.0873
288	0.0430	28.0	0.215	0.0893
292	0.0440	28.4	0.220	0.0912
296	0.0450	28.8	0.225	0.0932
298	0.0457	29.0	0.228	0.0952
301	0.0470	29.3	0.235	0.0971
303	0.0478	29.5	0.239	0.0991
305	0.0484	29.7	0.242	0.101
308	0.0497	29.9	0.248	0.103
309	0.0510	30.1	0.255	0.105
310	0.0520	30.2	0.260	0.107
311	0.0526	30.2	0.263	0.109
312	0.0531	30.3	0.266	0.111
312	0.0540	30.4	0.270	0.113
313	0.0552	30.4	0.276	0.115
313	0.0568	30.5	0.284	0.117
314	0.0574	30.6	0.287	0.119
313	0.0580	30.5	0.290	0.121
313	0.0590	30.4	0.295	0.123
313	0.0600	30.4	0.300	0.125
313	0.0610	30.4	0.305	0.127
313	0.0621	30.4	0.311	0.129
313	0.0630	30.4	0.315	0.131
312	0.0640	30.3	0.320	0.133
311	0.0650	30.2	0.325	0.134
310	0.0660	30.2	0.330	0.136
310	0.0670	30.2	0.335	0.138
310	0.0680	30.2	0.340	0.140
309	0.0690	30.1	0.345	0.142
309	0.0700	30.0	0.350	0.144
308	0.0710	29.9	0.355	0.146
307	0.0720	29.9	0.360	0.148
307	0.0730	29.8	0.365	0.150
306	0.0740	29.7	0.370	0.152
306	0.0750	29.7	0.375	0.154
306	0.0760	29.7	0.380	0.156
305	0.0770	29.7	0.385	0.158
305	0.0780	29.7	0.390	0.160
304	0.0790	29.6	0.395	0.162
304	0.0800	29.6	0.400	0.164
304	0.0810	29.6	0.405	0.166
304	0.0820	29.6	0.410	0.168
303	0.0830	29.5	0.415	0.170
303	0.0840	29.4	0.420	0.172
303	0.0850	29.4	0.425	0.174
