Force (N)	Position (mm)	Stress (MPa)	Strain (%)	Time (min)
0.00	0.00	0.00	0.00	0.00398
0.00	0.00700	0.00	0.0233	0.00578
0.00	0.0150	0.00	0.0501	0.00757
0.00	0.0251	0.00	0.0835	0.00936
0.00	0.0340	0.00	0.113	0.0112
0.00	0.0439	0.00	0.146	0.0129
0.00	0.0519	0.00	0.173	0.0147
0.00	0.0609	0.00	0.203	0.0165
0.00	0.0700	0.00	0.233	0.0183
0.00	0.0793	0.00	0.264	0.0201
0.00	0.0886	0.00	0.295	0.0219
0.00	0.0969	0.00	0.323	0.0237
0.00	0.106	0.00	0.354	0.0255
0.00	0.115	0.00	0.384	0.0273
0.00	0.124	0.00	0.414	0.0291
0.00	0.133	0.00	0.443	0.0309
0.833	0.142	0.0339	0.473	0.0327
0.833	0.151	0.0339	0.504	0.0344
0.00	0.160	0.00	0.534	0.0362
0.00	0.169	0.00	0.562	0.0380
0.833	0.178	0.0339	0.593	0.0398
0.833	0.187	0.0339	0.623	0.0416
0.00	0.195	0.00	0.650	0.0434
0.00	0.204	0.00	0.681	0.0452
0.833	0.214	0.0339	0.713	0.0470
0.833	0.223	0.0339	0.743	0.0488
0.833	0.232	0.0339	0.772	0.0506
0.833	0.240	0.0339	0.801	0.0524
0.833	0.250	0.0339	0.832	0.0542
0.833	0.259	0.0339	0.862	0.0560
0.833	0.267	0.0339	0.891	0.0577
0.833	0.277	0.0339	0.922	0.0595
0.833	0.285	0.0339	0.951	0.0613
0.833	0.295	0.0339	0.983	0.0631
0.833	0.303	0.0339	1.01	0.0649
0.833	0.313	0.0339	1.04	0.0667
0.833	0.321	0.0339	1.07	0.0685
0.833	0.330	0.0339	1.10	0.0703
0.833	0.339	0.0339	1.13	0.0721
0.833	0.348	0.0339	1.16	0.0739
0.833	0.357	0.0339	1.19	0.0757
0.833	0.366	0.0339	1.22	0.0775
0.833	0.375	0.0339	1.25	0.0793
0.833	0.384	0.0339	1.28	0.0810
0.833	0.393	0.0339	1.31	0.0828
0.833	0.403	0.0339	1.34	0.0846
0.833	0.411	0.0339	1.37	0.0864
0.833	0.420	0.0339	1.40	0.0882
0.833	0.429	0.0339	1.43	0.0900
0.833	0.438	0.0339	1.46	0.0918
0.833	0.447	0.0339	1.49	0.0936
0.833	0.455	0.0339	1.52	0.0954
0.833	0.464	0.0339	1.55	0.0972
0.833	0.474	0.0339	1.58	0.0990
0.833	0.482	0.0339	1.61	0.101
0.833	0.491	0.0339	1.64	0.103
0.833	0.500	0.0339	1.67	0.104
0.833	0.509	0.0339	1.70	0.106
0.833	0.518	0.0339	1.73	0.108
1.67	0.527	0.0678	1.76	0.110
0.833	0.536	0.0339	1.79	0.112
1.67	0.545	0.0678	1.82	0.113
1.67	0.554	0.0678	1.85	0.115
0.959	0.563	0.0390	1.88	0.117
1.67	0.572	0.0678	1.91	0.119
1.67	0.580	0.0678	1.93	0.120
1.67	0.590	0.0678	1.97	0.122
1.67	0.599	0.0678	2.00	0.124
1.67	0.608	0.0678	2.03	0.126
1.67	0.616	0.0678	2.05	0.128
0.833	0.625	0.0339	2.08	0.129
1.67	0.635	0.0678	2.12	0.131
1.67	0.644	0.0678	2.15	0.133
1.67	0.653	0.0678	2.18	0.135
1.67	0.662	0.0678	2.21	0.137
1.67	0.670	0.0678	2.23	0.138
1.67	0.679	0.0678	2.26	0.140
1.67	0.689	0.0678	2.30	0.142
1.67	0.698	0.0678	2.33	0.144
1.67	0.706	0.0678	2.35	0.146
1.67	0.716	0.0678	2.39	0.147
1.67	0.723	0.0678	2.41	0.149
1.67	0.734	0.0678	2.45	0.151
1.67	0.743	0.0678	2.48	0.153
1.67	0.751	0.0678	2.50	0.155
1.67	0.760	0.0678	2.53	0.156
1.67	0.769	0.0678	2.56	0.158
1.67	0.779	0.0678	2.60	0.160
1.67	0.787	0.0678	2.62	0.162
1.67	0.796	0.0678	2.65	0.163
1.67	0.806	0.0678	2.69	0.165
1.67	0.814	0.0678	2.71	0.167
1.67	0.822	0.0678	2.74	0.169
1.67	0.832	0.0678	2.77	0.171
1.67	0.840	0.0678	2.80	0.172
1.67	0.849	0.0678	2.83	0.174
1.67	0.859	0.0678	2.86	0.176
1.67	0.868	0.0678	2.89	0.178
1.67	0.877	0.0678	2.92	0.180
1.67	0.886	0.0678	2.95	0.181
2.50	0.895	0.102	2.98	0.183
1.67	0.904	0.0678	3.01	0.185
1.67	0.913	0.0678	3.04	0.187
1.67	0.922	0.0678	3.07	0.189
1.67	0.930	0.0678	3.10	0.190
1.67	0.940	0.0678	3.13	0.192
1.67	0.948	0.0678	3.16	0.194
1.78	0.957	0.0726	3.19	0.196
1.67	0.966	0.0678	3.22	0.198
1.67	0.976	0.0678	3.25	0.199
1.67	0.984	0.0678	3.28	0.201
1.67	0.993	0.0678	3.31	0.203
2.50	1.00	0.102	3.34	0.205
2.50	1.01	0.102	3.37	0.206
2.50	1.02	0.102	3.40	0.208
