Force (N),Position (mm),Strain (%),Stress (MPa)
-0.833,0.00,0.00,-0.000620
0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00
0.833,0.00100,0.00100,0.000620
0.833,0.00100,0.00100,0.000620
0.833,0.00100,0.00100,0.000620
1.67,0.00100,0.00100,0.00124
1.67,0.00100,0.00100,0.00124
2.50,0.00100,0.00100,0.00186
2.50,0.00100,0.00100,0.00186
3.33,0.00200,0.00200,0.00248
4.17,0.00200,0.00200,0.00310
4.17,0.00200,0.00200,0.00310
5.00,0.00200,0.00200,0.00372
5.00,0.00200,0.00200,0.00372
5.83,0.00300,0.00300,0.00434
5.83,0.00300,0.00300,0.00434
6.67,0.00300,0.00300,0.00496
6.67,0.00300,0.00300,0.00496
7.50,0.00300,0.00300,0.00558
7.50,0.00300,0.00300,0.00558
8.33,0.00400,0.00400,0.00620
8.33,0.00400,0.00400,0.00620
8.33,0.00400,0.00400,0.00620
9.17,0.00400,0.00400,0.00682
9.17,0.00400,0.00400,0.00682
10.0,0.00400,0.00400,0.00744
10.8,0.00500,0.00500,0.00806
10.8,0.00500,0.00500,0.00806
11.7,0.00500,0.00500,0.00868
11.7,0.00500,0.00500,0.00868
12.5,0.00500,0.00500,0.00930
12.5,0.00500,0.00500,0.00930
13.3,0.00500,0.00500,0.00992
13.3,0.00600,0.00600,0.00992
13.3,0.00600,0.00600,0.00992
14.2,0.00600,0.00600,0.0105
14.2,0.00600,0.00600,0.0105
15.0,0.00600,0.00600,0.0112
15.0,0.00600,0.00600,0.0112
15.0,0.00600,0.00600,0.0112
15.8,0.00700,0.00700,0.0118
15.8,0.00700,0.00700,0.0118
15.8,0.00700,0.00700,0.0118
16.7,0.00700,0.00700,0.0124
16.7,0.00700,0.00700,0.0124
17.5,0.00700,0.00700,0.0130
17.5,0.00700,0.00700,0.0130
17.5,0.00800,0.00800,0.0130
18.3,0.00800,0.00800,0.0136
18.3,0.00800,0.00800,0.0136
18.3,0.00800,0.00800,0.0136
19.2,0.00800,0.00800,0.0143
19.2,0.00800,0.00800,0.0143
20.0,0.00800,0.00800,0.0149
20.0,0.00800,0.00800,0.0149
20.0,0.00900,0.00900,0.0149
20.8,0.00900,0.00900,0.0155
20.8,0.00900,0.00900,0.0155
20.8,0.00900,0.00900,0.0155
21.7,0.00900,0.00900,0.0161
21.7,0.00900,0.00900,0.0161
21.7,0.00900,0.00900,0.0161
22.5,0.0100,0.0100,0.0167
22.5,0.0100,0.0100,0.0167
22.5,0.0100,0.0100,0.0167
23.3,0.0100,0.0100,0.0174
23.3,0.0100,0.0100,0.0174
23.3,0.0100,0.0100,0.0174
24.2,0.0110,0.0110,0.0180
24.2,0.0110,0.0110,0.0180
24.2,0.0110,0.0110,0.0180
25.0,0.0110,0.0110,0.0186
25.0,0.0110,0.0110,0.0186
25.0,0.0110,0.0110,0.0186
25.8,0.0110,0.0110,0.0192
25.8,0.0110,0.0110,0.0192
26.7,0.0120,0.0120,0.0198
26.7,0.0120,0.0120,0.0198
26.7,0.0120,0.0120,0.0198
26.7,0.0120,0.0120,0.0198
27.5,0.0120,0.0120,0.0205
27.5,0.0120,0.0120,0.0205
28.3,0.0120,0.0120,0.0211
28.3,0.0120,0.0120,0.0211
28.3,0.0130,0.0130,0.0211
28.3,0.0130,0.0130,0.0211
29.2,0.0130,0.0130,0.0217
29.2,0.0130,0.0130,0.0217
29.2,0.0130,0.0130,0.0217
30.0,0.0130,0.0130,0.0223
30.0,0.0130,0.0130,0.0223
30.0,0.0130,0.0130,0.0223
30.8,0.0140,0.0140,0.0229
30.8,0.0140,0.0140,0.0229
30.8,0.0140,0.0140,0.0229
30.8,0.0140,0.0140,0.0229
32.5,0.0140,0.0140,0.0242
32.5,0.0150,0.0150,0.0242
32.5,0.0150,0.0150,0.0242
33.3,0.0150,0.0150,0.0248
33.3,0.0150,0.0150,0.0248
33.3,0.0150,0.0150,0.0248
34.2,0.0150,0.0150,0.0254
34.2,0.0150,0.0150,0.0254
34.2,0.0150,0.0150,0.0254
34.2,0.0160,0.0160,0.0254
35.0,0.0160,0.0160,0.0260
35.0,0.0160,0.0160,0.0260
35.0,0.0160,0.0160,0.0260
35.8,0.0160,0.0160,0.0267
35.8,0.0160,0.0160,0.0267
35.8,0.0160,0.0160,0.0267
35.8,0.0160,0.0160,0.0267
36.7,0.0170,0.0170,0.0273
36.7,0.0170,0.0170,0.0273
36.7,0.0170,0.0170,0.0273
36.7,0.0170,0.0170,0.0273
37.5,0.0170,0.0170,0.0279
37.5,0.0170,0.0170,0.0279
37.5,0.0170,0.0170,0.0279
37.5,0.0170,0.0170,0.0279
37.5,0.0180,0.0180,0.0279
38.3,0.0180,0.0180,0.0285
38.3,0.0180,0.0180,0.0285
38.3,0.0180,0.0180,0.0285
38.3,0.0180,0.0180,0.0285
38.3,0.0180,0.0180,0.0285
38.3,0.0180,0.0180,0.0285
38.3,0.0190,0.0190,0.0285
39.2,0.0190,0.0190,0.0291
39.2,0.0190,0.0190,0.0291
39.2,0.0190,0.0190,0.0291
39.2,0.0190,0.0190,0.0291
40.0,0.0190,0.0190,0.0298
40.0,0.0190,0.0190,0.0298
40.0,0.0200,0.0200,0.0298
40.8,0.0200,0.0200,0.0304
40.8,0.0200,0.0200,0.0304
40.8,0.0200,0.0200,0.0304
41.7,0.0200,0.0200,0.0310
41.7,0.0200,0.0200,0.0310
41.7,0.0200,0.0200,0.0310
41.7,0.0210,0.0210,0.0310
42.5,0.0210,0.0210,0.0316
42.5,0.0210,0.0210,0.0316
42.5,0.0210,0.0210,0.0316
42.5,0.0210,0.0210,0.0316
43.3,0.0210,0.0210,0.0322
43.3,0.0210,0.0210,0.0322
43.3,0.0220,0.0220,0.0322
44.2,0.0220,0.0220,0.0329
44.2,0.0220,0.0220,0.0329
44.2,0.0220,0.0220,0.0329
45.0,0.0220,0.0220,0.0335
45.0,0.0220,0.0220,0.0335
45.8,0.0220,0.0220,0.0341
45.8,0.0220,0.0220,0.0341
45.8,0.0230,0.0230,0.0341
45.8,0.0230,0.0230,0.0341
46.7,0.0230,0.0230,0.0347
46.7,0.0230,0.0230,0.0347
46.7,0.0230,0.0230,0.0347
46.7,0.0230,0.0230,0.0347
47.5,0.0230,0.0230,0.0353
47.5,0.0240,0.0240,0.0353
47.5,0.0240,0.0240,0.0353
47.5,0.0240,0.0240,0.0353
48.3,0.0240,0.0240,0.0360
48.3,0.0240,0.0240,0.0360
48.3,0.0240,0.0240,0.0360
49.2,0.0240,0.0240,0.0366
49.2,0.0240,0.0240,0.0366
49.2,0.0240,0.0240,0.0366
49.2,0.0250,0.0250,0.0366
49.2,0.0250,0.0250,0.0366
50.0,0.0250,0.0250,0.0372
50.0,0.0250,0.0250,0.0372
50.0,0.0250,0.0250,0.0372
50.0,0.0250,0.0250,0.0372
50.8,0.0250,0.0250,0.0378
50.8,0.0260,0.0260,0.0378
50.8,0.0260,0.0260,0.0378
51.7,0.0260,0.0260,0.0384
51.7,0.0260,0.0260,0.0384
51.7,0.0260,0.0260,0.0384
51.7,0.0260,0.0260,0.0384
52.5,0.0260,0.0260,0.0391
52.5,0.0270,0.0270,0.0391
52.5,0.0270,0.0270,0.0391
52.5,0.0270,0.0270,0.0391
52.5,0.0270,0.0270,0.0391
53.3,0.0270,0.0270,0.0397
53.3,0.0270,0.0270,0.0397
53.3,0.0270,0.0270,0.0397
54.2,0.0280,0.0280,0.0403
54.2,0.0280,0.0280,0.0403
54.2,0.0280,0.0280,0.0403
55.0,0.0280,0.0280,0.0409
55.0,0.0280,0.0280,0.0409
55.0,0.0280,0.0280,0.0409
55.0,0.0280,0.0280,0.0409
55.8,0.0290,0.0290,0.0415
55.8,0.0290,0.0290,0.0415
55.8,0.0290,0.0290,0.0415
55.8,0.0290,0.0290,0.0415
56.7,0.0290,0.0290,0.0422
56.7,0.0290,0.0290,0.0422
56.7,0.0290,0.0290,0.0422
56.7,0.0290,0.0290,0.0422
57.5,0.0300,0.0300,0.0428
57.5,0.0300,0.0300,0.0428
57.5,0.0300,0.0300,0.0428
