Force (N),Position (mm),Strain (%),Stress (MPa)
-2.50,0.00,0.00,-0.00620
-2.50,0.00,0.00,-0.00620
-2.50,0.00,0.00,-0.00620
-2.50,0.00,0.00,-0.00620
-2.50,0.00,0.00,-0.00620
-2.50,0.00,0.00,-0.00620
-2.50,0.00,0.00,-0.00620
-2.50,0.00,0.00,-0.00620
-2.50,0.00,0.00,-0.00620
-2.50,0.00,0.00,-0.00620
-2.50,0.00,0.00,-0.00620
-2.50,0.00,0.00,-0.00620
-2.50,0.00,0.00,-0.00620
-2.50,0.00,0.00,-0.00620
-2.50,0.00,0.00,-0.00620
-2.50,0.00,0.00,-0.00620
-2.50,0.00,0.00,-0.00620
-2.50,0.00,0.00,-0.00620
-2.50,0.00,0.00,-0.00620
-2.50,0.00,0.00,-0.00620
-1.67,0.00,0.00,-0.00413
-1.67,0.00100,0.00100,-0.00413
-1.67,0.00100,0.00100,-0.00413
-1.67,0.00100,0.00100,-0.00413
-0.833,0.00100,0.00100,-0.00207
-0.833,0.00100,0.00100,-0.00207
-0.833,0.00100,0.00100,-0.00207
0.00,0.00200,0.00200,0.00
0.00,0.00200,0.00200,0.00
0.00,0.00200,0.00200,0.00
0.833,0.00200,0.00200,0.00207
0.833,0.00200,0.00200,0.00207
1.67,0.00300,0.00300,0.00413
1.67,0.00300,0.00300,0.00413
2.50,0.00300,0.00300,0.00620
2.50,0.00300,0.00300,0.00620
3.33,0.00300,0.00300,0.00826
3.33,0.00300,0.00300,0.00826
3.33,0.00400,0.00400,0.00826
4.17,0.00400,0.00400,0.0103
4.17,0.00400,0.00400,0.0103
4.17,0.00400,0.00400,0.0103
5.00,0.00400,0.00400,0.0124
5.00,0.00400,0.00400,0.0124
5.00,0.00500,0.00500,0.0124
5.00,0.00500,0.00500,0.0124
5.83,0.00500,0.00500,0.0145
5.83,0.00500,0.00500,0.0145
6.67,0.00500,0.00500,0.0165
6.67,0.00500,0.00500,0.0165
6.67,0.00600,0.00600,0.0165
6.67,0.00600,0.00600,0.0165
7.50,0.00600,0.00600,0.0186
7.50,0.00600,0.00600,0.0186
7.50,0.00600,0.00600,0.0186
8.33,0.00600,0.00600,0.0207
8.33,0.00600,0.00600,0.0207
8.33,0.00700,0.00700,0.0207
8.33,0.00700,0.00700,0.0207
8.33,0.00700,0.00700,0.0207
9.17,0.00700,0.00700,0.0227
9.17,0.00700,0.00700,0.0227
9.17,0.00700,0.00700,0.0227
9.17,0.00700,0.00700,0.0227
10.0,0.00800,0.00800,0.0248
10.0,0.00800,0.00800,0.0248
10.0,0.00800,0.00800,0.0248
10.0,0.00800,0.00800,0.0248
10.8,0.00800,0.00800,0.0269
10.8,0.00800,0.00800,0.0269
10.8,0.00800,0.00800,0.0269
10.8,0.00800,0.00800,0.0269
11.7,0.00900,0.00900,0.0289
11.7,0.00900,0.00900,0.0289
11.7,0.00900,0.00900,0.0289
11.7,0.00900,0.00900,0.0289
12.5,0.00900,0.00900,0.0310
12.5,0.00900,0.00900,0.0310
12.5,0.00900,0.00900,0.0310
13.3,0.0100,0.0100,0.0331
13.3,0.0100,0.0100,0.0331
13.3,0.0100,0.0100,0.0331
13.3,0.0100,0.0100,0.0331
13.3,0.0100,0.0100,0.0331
13.3,0.0100,0.0100,0.0331
14.2,0.0100,0.0100,0.0351
14.2,0.0100,0.0100,0.0351
14.2,0.0110,0.0110,0.0351
14.2,0.0110,0.0110,0.0351
14.2,0.0110,0.0110,0.0351
15.0,0.0110,0.0110,0.0372
15.0,0.0110,0.0110,0.0372
15.0,0.0110,0.0110,0.0372
15.0,0.0110,0.0110,0.0372
15.8,0.0120,0.0120,0.0393
15.8,0.0120,0.0120,0.0393
15.8,0.0120,0.0120,0.0393
15.8,0.0120,0.0120,0.0393
15.8,0.0120,0.0120,0.0393
16.7,0.0120,0.0120,0.0413
16.7,0.0120,0.0120,0.0413
16.7,0.0120,0.0120,0.0413
16.7,0.0130,0.0130,0.0413
17.5,0.0130,0.0130,0.0434
17.5,0.0130,0.0130,0.0434
17.5,0.0130,0.0130,0.0434
17.5,0.0130,0.0130,0.0434
18.3,0.0130,0.0130,0.0455
18.3,0.0130,0.0130,0.0455
18.3,0.0140,0.0140,0.0455
18.3,0.0140,0.0140,0.0455
19.2,0.0140,0.0140,0.0475
19.2,0.0140,0.0140,0.0475
19.2,0.0140,0.0140,0.0475
19.2,0.0140,0.0140,0.0475
20.0,0.0140,0.0140,0.0496
20.0,0.0150,0.0150,0.0496
20.0,0.0150,0.0150,0.0496
20.0,0.0150,0.0150,0.0496
20.8,0.0150,0.0150,0.0517
20.8,0.0150,0.0150,0.0517
20.8,0.0150,0.0150,0.0517
20.8,0.0150,0.0150,0.0517
20.8,0.0150,0.0150,0.0517
21.7,0.0160,0.0160,0.0537
21.7,0.0160,0.0160,0.0537
21.7,0.0160,0.0160,0.0537
21.7,0.0160,0.0160,0.0537
21.7,0.0160,0.0160,0.0537
22.5,0.0160,0.0160,0.0558
22.5,0.0160,0.0160,0.0558
22.5,0.0160,0.0160,0.0558
22.5,0.0170,0.0170,0.0558
23.3,0.0170,0.0170,0.0579
23.3,0.0170,0.0170,0.0579
23.3,0.0170,0.0170,0.0579
23.3,0.0170,0.0170,0.0579
23.3,0.0170,0.0170,0.0579
23.3,0.0170,0.0170,0.0579
23.3,0.0170,0.0170,0.0579
23.3,0.0180,0.0180,0.0579
23.3,0.0180,0.0180,0.0579
24.2,0.0180,0.0180,0.0599
24.2,0.0180,0.0180,0.0599
24.2,0.0180,0.0180,0.0599
24.2,0.0180,0.0180,0.0599
24.2,0.0190,0.0190,0.0599
24.2,0.0190,0.0190,0.0599
25.0,0.0190,0.0190,0.0620
25.0,0.0190,0.0190,0.0620
25.0,0.0190,0.0190,0.0620
25.0,0.0190,0.0190,0.0620
25.8,0.0190,0.0190,0.0640
25.8,0.0190,0.0190,0.0640
25.8,0.0200,0.0200,0.0640
25.8,0.0200,0.0200,0.0640
26.7,0.0200,0.0200,0.0661
26.7,0.0200,0.0200,0.0661
26.7,0.0200,0.0200,0.0661
26.7,0.0200,0.0200,0.0661
26.7,0.0200,0.0200,0.0661
27.5,0.0210,0.0210,0.0682
27.5,0.0210,0.0210,0.0682
27.5,0.0210,0.0210,0.0682
27.5,0.0210,0.0210,0.0682
27.5,0.0210,0.0210,0.0682
28.3,0.0210,0.0210,0.0702
28.3,0.0210,0.0210,0.0702
28.3,0.0210,0.0210,0.0702
28.3,0.0220,0.0220,0.0702
29.2,0.0220,0.0220,0.0723
29.2,0.0220,0.0220,0.0723
29.2,0.0220,0.0220,0.0723
29.2,0.0220,0.0220,0.0723
29.2,0.0220,0.0220,0.0723
29.2,0.0220,0.0220,0.0723
30.0,0.0230,0.0230,0.0744
30.0,0.0230,0.0230,0.0744
30.0,0.0230,0.0230,0.0744
30.0,0.0230,0.0230,0.0744
30.0,0.0230,0.0230,0.0744
30.0,0.0230,0.0230,0.0744
30.8,0.0230,0.0230,0.0764
30.8,0.0230,0.0230,0.0764
30.8,0.0240,0.0240,0.0764
30.8,0.0240,0.0240,0.0764
31.7,0.0240,0.0240,0.0785
31.7,0.0240,0.0240,0.0785
31.7,0.0240,0.0240,0.0785
31.7,0.0240,0.0240,0.0785
32.5,0.0240,0.0240,0.0806
32.5,0.0240,0.0240,0.0806
32.5,0.0250,0.0250,0.0806
32.5,0.0250,0.0250,0.0806
33.3,0.0250,0.0250,0.0826
33.3,0.0250,0.0250,0.0826
33.3,0.0250,0.0250,0.0826
